"taxon","comparison","n_methods_total","n_methods_sig","n_increased","n_decreased","mean_lfc","median_lfc","min_q","methods_detected","consensus_da","direction","confidence"
"Genus_17","IBD_vs_Healthy",2,0,0,0,-0.1083,-0.1083,0.999837,"",FALSE,"conflicting","low"
"Genus_18","IBD_vs_Healthy",2,0,0,0,0.0083,0.0083,0.999837,"",FALSE,"conflicting","low"
"Genus_19","IBD_vs_Healthy",2,0,0,0,-0.7206,-0.7206,0.999837,"",FALSE,"conflicting","low"
"Genus_2","IBD_vs_Healthy",2,0,0,0,-0.0633,-0.0633,0.999837,"",FALSE,"conflicting","low"
"Genus_20","IBD_vs_Healthy",2,0,0,0,-0.0364,-0.0364,0.999837,"",FALSE,"conflicting","low"
"Genus_21","IBD_vs_Healthy",2,0,0,0,-0.1862,-0.1862,0.999837,"",FALSE,"conflicting","low"
"Genus_22","IBD_vs_Healthy",2,0,0,0,-0.0614,-0.0614,0.999837,"",FALSE,"conflicting","low"
"Genus_23","IBD_vs_Healthy",2,0,0,0,0.5147,0.5147,0.999837,"",FALSE,"conflicting","low"
"Genus_24","IBD_vs_Healthy",2,0,0,0,0.2012,0.2012,0.999837,"",FALSE,"conflicting","low"
"Genus_25","IBD_vs_Healthy",2,0,0,0,-0.298,-0.298,0.999837,"",FALSE,"conflicting","low"
"Genus_26","IBD_vs_Healthy",2,0,0,0,0.4183,0.4183,0.999837,"",FALSE,"conflicting","low"
"Genus_27","IBD_vs_Healthy",2,0,0,0,-0.1697,-0.1697,0.999837,"",FALSE,"conflicting","low"
"Genus_28","IBD_vs_Healthy",2,0,0,0,-0.2713,-0.2713,0.999837,"",FALSE,"conflicting","low"
"Genus_29","IBD_vs_Healthy",2,0,0,0,-0.123,-0.123,0.999837,"",FALSE,"conflicting","low"
"Genus_3","IBD_vs_Healthy",2,0,0,0,-0.1495,-0.1495,0.999837,"",FALSE,"conflicting","low"
"Genus_30","IBD_vs_Healthy",2,0,0,0,-0.0311,-0.0311,0.999837,"",FALSE,"conflicting","low"
"Genus_31","IBD_vs_Healthy",2,0,0,0,0.7916,0.7916,0.999837,"",FALSE,"conflicting","low"
"Genus_32","IBD_vs_Healthy",2,0,0,0,0.657,0.657,0.999837,"",FALSE,"conflicting","low"
"Genus_33","IBD_vs_Healthy",2,0,0,0,0.1746,0.1746,0.999837,"",FALSE,"conflicting","low"
"Genus_34","IBD_vs_Healthy",2,0,0,0,0.7026,0.7026,0.999837,"",FALSE,"conflicting","low"
"Genus_35","IBD_vs_Healthy",2,0,0,0,0.3553,0.3553,0.999837,"",FALSE,"conflicting","low"
"Genus_36","IBD_vs_Healthy",2,0,0,0,-0.1736,-0.1736,0.999837,"",FALSE,"conflicting","low"
"Genus_37","IBD_vs_Healthy",2,0,0,0,0.1327,0.1327,0.999837,"",FALSE,"conflicting","low"
"Genus_38","IBD_vs_Healthy",2,0,0,0,0.0048,0.0048,0.999837,"",FALSE,"conflicting","low"
"Genus_39","IBD_vs_Healthy",2,0,0,0,-0.1608,-0.1608,0.999837,"",FALSE,"conflicting","low"
"Genus_4","IBD_vs_Healthy",2,0,0,0,0.2179,0.2179,0.999837,"",FALSE,"conflicting","low"
"Genus_40","IBD_vs_Healthy",2,0,0,0,0.1238,0.1238,0.999837,"",FALSE,"conflicting","low"
"Genus_41","IBD_vs_Healthy",2,0,0,0,0.2482,0.2482,0.999837,"",FALSE,"conflicting","low"
"Genus_42","IBD_vs_Healthy",2,0,0,0,0.3663,0.3663,0.999837,"",FALSE,"conflicting","low"
"Genus_43","IBD_vs_Healthy",2,0,0,0,0.182,0.182,0.999837,"",FALSE,"conflicting","low"
"Genus_44","IBD_vs_Healthy",2,0,0,0,0.5555,0.5555,0.999837,"",FALSE,"conflicting","low"
"Genus_45","IBD_vs_Healthy",2,0,0,0,-0.3573,-0.3573,0.999837,"",FALSE,"conflicting","low"
"Genus_46","IBD_vs_Healthy",2,0,0,0,-0.4514,-0.4514,0.999837,"",FALSE,"conflicting","low"
"Genus_47","IBD_vs_Healthy",2,0,0,0,-0.1185,-0.1185,0.999837,"",FALSE,"conflicting","low"
"Genus_48","IBD_vs_Healthy",2,0,0,0,0.2096,0.2096,0.999837,"",FALSE,"conflicting","low"
"Genus_49","IBD_vs_Healthy",2,0,0,0,0.2644,0.2644,0.999837,"",FALSE,"conflicting","low"
"Genus_5","IBD_vs_Healthy",2,0,0,0,-0.1308,-0.1308,0.999837,"",FALSE,"conflicting","low"
"Genus_50","IBD_vs_Healthy",2,0,0,0,-0.0571,-0.0571,0.999837,"",FALSE,"conflicting","low"
"Genus_51","IBD_vs_Healthy",2,0,0,0,-0.3005,-0.3005,0.999837,"",FALSE,"conflicting","low"
"Genus_52","IBD_vs_Healthy",2,0,0,0,-0.0249,-0.0249,0.999837,"",FALSE,"conflicting","low"
"Genus_53","IBD_vs_Healthy",2,0,0,0,0.2143,0.2143,0.999837,"",FALSE,"conflicting","low"
"Genus_54","IBD_vs_Healthy",2,0,0,0,-0.0492,-0.0492,0.999837,"",FALSE,"conflicting","low"
"Genus_55","IBD_vs_Healthy",2,0,0,0,0.24,0.24,0.999837,"",FALSE,"conflicting","low"
"Genus_56","IBD_vs_Healthy",2,0,0,0,-0.1413,-0.1413,0.999837,"",FALSE,"conflicting","low"
"Genus_57","IBD_vs_Healthy",2,0,0,0,-0.1081,-0.1081,0.999837,"",FALSE,"conflicting","low"
"Genus_58","IBD_vs_Healthy",2,0,0,0,-0.163,-0.163,0.999837,"",FALSE,"conflicting","low"
"Genus_59","IBD_vs_Healthy",2,0,0,0,0.1779,0.1779,0.999837,"",FALSE,"conflicting","low"
"Genus_6","IBD_vs_Healthy",2,0,0,0,-0.479,-0.479,0.999837,"",FALSE,"conflicting","low"
"Genus_60","IBD_vs_Healthy",2,0,0,0,0.0778,0.0778,0.999837,"",FALSE,"conflicting","low"
"Genus_61","IBD_vs_Healthy",2,0,0,0,0.0314,0.0314,0.999837,"",FALSE,"conflicting","low"
"Genus_62","IBD_vs_Healthy",2,0,0,0,0.2098,0.2098,0.999837,"",FALSE,"conflicting","low"
"Genus_64","IBD_vs_Healthy",2,0,0,0,-0.1563,-0.1563,0.999837,"",FALSE,"conflicting","low"
"Genus_65","IBD_vs_Healthy",2,0,0,0,0.4593,0.4593,0.999837,"",FALSE,"conflicting","low"
"Genus_66","IBD_vs_Healthy",2,0,0,0,-0.3793,-0.3793,0.999837,"",FALSE,"conflicting","low"
"Genus_67","IBD_vs_Healthy",2,0,0,0,0.0235,0.0235,0.999837,"",FALSE,"conflicting","low"
"Genus_68","IBD_vs_Healthy",2,0,0,0,0.2513,0.2513,0.999837,"",FALSE,"conflicting","low"
"Genus_69","IBD_vs_Healthy",2,0,0,0,-0.3695,-0.3695,0.999837,"",FALSE,"conflicting","low"
"Genus_7","IBD_vs_Healthy",2,0,0,0,-0.478,-0.478,0.999837,"",FALSE,"conflicting","low"
"Genus_70","IBD_vs_Healthy",2,0,0,0,0.3238,0.3238,0.999837,"",FALSE,"conflicting","low"
"Genus_71","IBD_vs_Healthy",2,0,0,0,-0.0928,-0.0928,0.999837,"",FALSE,"conflicting","low"
"Genus_72","IBD_vs_Healthy",2,0,0,0,0.4626,0.4626,0.999837,"",FALSE,"conflicting","low"
"Genus_73","IBD_vs_Healthy",2,0,0,0,0.551,0.551,0.999837,"",FALSE,"conflicting","low"
"Genus_74","IBD_vs_Healthy",2,0,0,0,-0.2035,-0.2035,0.999837,"",FALSE,"conflicting","low"
"Genus_75","IBD_vs_Healthy",2,0,0,0,-0.1471,-0.1471,0.999837,"",FALSE,"conflicting","low"
"Genus_76","IBD_vs_Healthy",2,0,0,0,-0.0777,-0.0777,0.999837,"",FALSE,"conflicting","low"
"Genus_77","IBD_vs_Healthy",2,0,0,0,-0.3457,-0.3457,0.999837,"",FALSE,"conflicting","low"
"Genus_78","IBD_vs_Healthy",2,0,0,0,0.0181,0.0181,0.999837,"",FALSE,"conflicting","low"
"Genus_79","IBD_vs_Healthy",2,0,0,0,0.4955,0.4955,0.999837,"",FALSE,"conflicting","low"
"Genus_8","IBD_vs_Healthy",2,0,0,0,0.0844,0.0844,0.999837,"",FALSE,"conflicting","low"
"Genus_80","IBD_vs_Healthy",2,0,0,0,-0.2597,-0.2597,0.999837,"",FALSE,"conflicting","low"
"Genus_81","IBD_vs_Healthy",2,0,0,0,-0.078,-0.078,0.999837,"",FALSE,"conflicting","low"
"Genus_82","IBD_vs_Healthy",2,0,0,0,0.1111,0.1111,0.999837,"",FALSE,"conflicting","low"
"Genus_83","IBD_vs_Healthy",2,0,0,0,-0.0501,-0.0501,0.999837,"",FALSE,"conflicting","low"
"Genus_84","IBD_vs_Healthy",2,0,0,0,-0.4371,-0.4371,0.999837,"",FALSE,"conflicting","low"
"Genus_85","IBD_vs_Healthy",2,0,0,0,-0.0392,-0.0392,0.999837,"",FALSE,"conflicting","low"
"Genus_86","IBD_vs_Healthy",2,0,0,0,0.3895,0.3895,0.999837,"",FALSE,"conflicting","low"
"Genus_87","IBD_vs_Healthy",2,0,0,0,0.0113,0.0113,0.999837,"",FALSE,"conflicting","low"
"Genus_88","IBD_vs_Healthy",2,0,0,0,-0.0261,-0.0261,0.999837,"",FALSE,"conflicting","low"
"Genus_89","IBD_vs_Healthy",2,0,0,0,-0.054,-0.054,0.999837,"",FALSE,"conflicting","low"
"Genus_9","IBD_vs_Healthy",2,0,0,0,0.5725,0.5725,0.999837,"",FALSE,"conflicting","low"
"Genus_90","IBD_vs_Healthy",2,0,0,0,-0.1767,-0.1767,0.999837,"",FALSE,"conflicting","low"
"Genus_91","IBD_vs_Healthy",2,0,0,0,-0.1392,-0.1392,0.999837,"",FALSE,"conflicting","low"
"Genus_92","IBD_vs_Healthy",2,0,0,0,-0.6057,-0.6057,0.999837,"",FALSE,"conflicting","low"
"Genus_93","IBD_vs_Healthy",2,0,0,0,-0.1427,-0.1427,0.999837,"",FALSE,"conflicting","low"
"Genus_94","IBD_vs_Healthy",2,0,0,0,-0.0244,-0.0244,0.999837,"",FALSE,"conflicting","low"
"Genus_95","IBD_vs_Healthy",2,0,0,0,0.7026,0.7026,0.999837,"",FALSE,"conflicting","low"
"Genus_96","IBD_vs_Healthy",2,0,0,0,0.8667,0.8667,0.999837,"",FALSE,"conflicting","low"
"Genus_97","IBD_vs_Healthy",2,0,0,0,0.6839,0.6839,0.999837,"",FALSE,"conflicting","low"
"Genus_98","IBD_vs_Healthy",2,0,0,0,0.4338,0.4338,0.999837,"",FALSE,"conflicting","low"
"Genus_99","IBD_vs_Healthy",2,0,0,0,0.2512,0.2512,0.999837,"",FALSE,"conflicting","low"
